id,l1_ratio,penalty,solver,testscore_day1,testscore_day10,testscore_day11,testscore_day12,testscore_day13,testscore_day2,testscore_day3,testscore_day4,testscore_day5,testscore_day6,testscore_day7,testscore_day8,testscore_day9,train_score
0,None,l1,liblinear,0.678476870059967,0.6587867140769958,0.6004725098609924,0.6578328609466553,0.6519829630851746,0.6859138011932373,0.6808925271034241,0.6304106712341309,0.6633601188659668,0.6820643544197083,0.6830999255180359,0.682040810585022,0.6658138632774353,0.6830999255180359
1,None,l1,saga,0.7353359460830688,0.7027424573898315,0.6255174875259399,0.7049122452735901,0.6877593994140625,0.752773106098175,0.7455556988716125,0.6567656397819519,0.7089893817901611,0.7461311221122742,0.7497402429580688,0.7473531365394592,0.7187315225601196,0.7497402429580688
2,None,l2,lbfgs,0.7335792779922485,0.7139710783958435,0.6298975348472595,0.7170973420143127,0.7100337743759155,0.7525224685668945,0.74437415599823,0.6683536767959595,0.7171310186386108,0.7450709342956543,0.7486604452133179,0.7467164397239685,0.7275606989860535,0.7486604452133179
3,None,l2,liblinear,0.6780132055282593,0.6536535620689392,0.594931423664093,0.648536741733551,0.6449103355407715,0.6842880845069885,0.6815493702888489,0.6268796920776367,0.6596482396125793,0.6778745651245117,0.6809945702552795,0.6803134679794312,0.6621860861778259,0.6809945702552795
4,None,l2,newton-cg,0.7352242469787598,0.7061612010002136,0.6238114833831787,0.7080109715461731,0.6928311586380005,0.7526511549949646,0.7454406023025513,0.6591150760650635,0.7086066603660583,0.745812714099884,0.7492358684539795,0.7468688488006592,0.7217332124710083,0.7492358684539795
5,None,l2,sag,0.7352885603904724,0.7025730609893799,0.6254328489303589,0.7045604586601257,0.6876307725906372,0.7528137564659119,0.7456267476081848,0.6558109521865845,0.7089487314224243,0.7459922432899475,0.7497774362564087,0.7475292682647705,0.7187247276306152,0.7497774362564087
6,None,l2,saga,0.7353291511535645,0.7026882171630859,0.6252703666687012,0.704817533493042,0.6875224113464355,0.7527629137039185,0.7455624341964722,0.6562713980674744,0.7088065147399902,0.7460870742797852,0.7497029900550842,0.7472481727600098,0.7187822461128235,0.7497029900550842
7,0.1,elasticnet,saga,0.7353291511535645,0.7026950120925903,0.6253042221069336,0.7048276662826538,0.6875360012054443,0.752759575843811,0.7455658316612244,0.656305193901062,0.7088200449943542,0.7460802793502808,0.749713122844696,0.7472481727600098,0.7187957763671875,0.749713122844696
8,0.2,elasticnet,saga,0.7353224158287048,0.7027018070220947,0.6253584027290344,0.7048209309577942,0.6875495314598083,0.7527629137039185,0.7455827593803406,0.6563323140144348,0.7088369727134705,0.7460938692092896,0.749713122844696,0.7472481727600098,0.7188093066215515,0.749713122844696
9,0.3,elasticnet,saga,0.7353359460830688,0.7026950120925903,0.6253786683082581,0.704817533493042,0.6875630617141724,0.7527561783790588,0.745643675327301,0.6564880609512329,0.7088403701782227,0.7461073994636536,0.7497063875198364,0.7472549676895142,0.7188127040863037,0.7497063875198364
10,0.4,elasticnet,saga,0.7353359460830688,0.7027018070220947,0.6254091262817383,0.7048479914665222,0.687613844871521,0.7527561783790588,0.7456504702568054,0.6565895676612854,0.7088403701782227,0.7461073994636536,0.7497233152389526,0.7472549676895142,0.7187788486480713,0.7497233152389526
11,0.5,elasticnet,saga,0.7353765368461609,0.7027052044868469,0.6254125237464905,0.704817533493042,0.6876206398010254,0.7527459859848022,0.7455489039421082,0.6567013263702393,0.7088843584060669,0.7461006045341492,0.7497063875198364,0.74727863073349,0.718640148639679,0.7497063875198364
12,0.6,elasticnet,saga,0.7353359460830688,0.7027018070220947,0.6254429817199707,0.7048818469047546,0.6876680254936218,0.7527629137039185,0.745630145072937,0.6567419171333313,0.7088945508003235,0.7461209297180176,0.7497199177742004,0.7472583055496216,0.7187483906745911,0.7497199177742004
13,0.7,elasticnet,saga,0.7353392839431763,0.7027085423469543,0.6254633069038391,0.7048987150192261,0.6877086162567139,0.7527629137039185,0.7456200122833252,0.6567487120628357,0.7089352011680603,0.7461311221122742,0.7497165203094482,0.747309148311615,0.7187145948410034,0.7497165203094482
14,0.8,elasticnet,saga,0.7353359460830688,0.7027187347412109,0.6254836320877075,0.7048953771591187,0.6877188086509705,0.752773106098175,0.7455624341964722,0.6567656397819519,0.7089453339576721,0.7461243271827698,0.7497233152389526,0.7472820281982422,0.7187145948410034,0.7497233152389526
15,0.9,elasticnet,saga,0.7353392839431763,0.7027390599250793,0.6254903674125671,0.7049122452735901,0.6877492666244507,0.7527663111686707,0.7455658316612244,0.6567521095275879,0.7089724540710449,0.7461311221122742,0.7497300505638123,0.747336208820343,0.7187145948410034,0.7497300505638123
16,None,none,lbfgs,0.7333254218101501,0.7140659689903259,0.6299178600311279,0.7171582579612732,0.7101014852523804,0.7523632645606995,0.744150698184967,0.6683875322341919,0.717147946357727,0.7452978491783142,0.7486672401428223,0.7467502951622009,0.7275945544242859,0.7486672401428223
17,None,none,newton-cg,0.7352140545845032,0.7062425017356873,0.6239028573036194,0.708115816116333,0.6930275559425354,0.7526748776435852,0.7453830242156982,0.6591455340385437,0.7087353467941284,0.7458296418190002,0.7492832541465759,0.7469298243522644,0.721851646900177,0.7492832541465759
18,None,none,sag,0.7353054881095886,0.7025188207626343,0.6255106925964355,0.7044894099235535,0.6877458691596985,0.7528204917907715,0.7455726265907288,0.6557736992835999,0.7090333700180054,0.7459685206413269,0.7498112916946411,0.7475495934486389,0.7188161015510559,0.7498112916946411
19,None,none,saga,0.735308825969696,0.7027187347412109,0.6254023909568787,0.704871654510498,0.6876443028450012,0.7527866363525391,0.7455759644508362,0.6566640734672546,0.7089352011680603,0.7461073994636536,0.7497639060020447,0.747393786907196,0.718707799911499,0.7497639060020447
